Data,Salário mínimo real - R$ (do último mês) - Instituto de Pesquisa Econômica Aplicada - GAC12_SALMINRE12,
2014.01,1296.01547724025,
2014.02,1287.77282272075,
2014.03,1277.29831404975,
2014.04,1267.41353487796,
2014.05,1259.8553394208,
2014.06,1256.58674240284,
2014.07,1254.95571651503,
2014.08,1252.69963016483,
2014.09,1246.59321943016,
2014.10,1241.87440542529,
2014.11,1235.3265737914,
2014.12,1227.7147376734,
2015.01,1316.7561192533,
2015.02,1301.65404553522,
2015.03,1282.29381331687,
2015.04,1273.25456990723,
2015.05,1260.77108826667,
2015.06,1251.13967851556,
2015.07,1243.92388222123,
2015.08,1240.82125375583,
2015.09,1234.52529472816,
2015.10,1225.09239517954,
2015.11,1211.64261709908,
2015.12,1200.83499757321,
2016.01,1321.08556553153,
2016.02,1308.65463271901,
2016.03,1302.91958686832,
2016.04,1294.63573717849,
2016.05,1282.071046309,
2016.06,1276.07351788068,
2016.07,1267.95835950821,
2016.08,1264.03959236456,
2016.09,1263.03032273138,
2016.10,1260.88617196912,
2016.11,1260.00449951053,
2016.12,1258.24230182279,
2017.01,1334.13904783404,
2017.02,1330.94415736392,
2017.03,1326.69739405455,
2017.04,1325.63727958184,
2017.05,1320.88106550556,
2017.06,1324.85457438505,
2017.07,1322.60712437485,
2017.08,1323.00364560119,
2017.09,1323.26812519866,
2017.10,1318.38968092734,
2017.11,1316.02017360393,
2017.12,1312.60676552474,
2018.01,1333.35434818737,
2018.02,1330.95813271928,
2018.03,1330.02830382305,
2018.04,1327.24136830911,
2018.05,1321.55984257682,
2018.06,1302.92915873215,
2018.07,1299.68030346275,
2018.08,1299.68030346275,
2018.09,1295.7920377463,
2018.10,1290.63054785286,
2018.11,1293.8640682385,
2018.12,1292.05576218156,
2019.01,1346.79841294705,
2019.02,1339.56431629088,
2019.03,1329.32750968199,
2019.04,1321.39960041084,
2019.05,1319.42126479373,
2019.06,1319.29040926196,
2019.07,1317.97342480862,
2019.08,1316.39356058979,
2019.09,1317.05260699895,
2019.10,1316.52630045768,
2019.11,1309.45481459469,
2019.12,1293.6712160357,
2020.01,1344.26508418205,
2020.02,1349.73395045589,
2020.03,1347.30757648759,
2020.04,1350.4129258495,
2020.05,1353.79821384363,
2020.06,1349.74875717856,
2020.07,1343.83475501868,
2020.08,1339.01346027577,
2020.09,1327.46341187111,
2020.10,1315.7543684233,
2020.11,1303.3727546866,
2020.12,1284.61839034856,
2021.01,1348.58778632578,
2021.02,1337.61937385102,
2021.03,1326.21427986292,
2021.04,1321.19281637483,
2021.05,1308.63094185582,
2021.06,1300.82577254009,
2021.07,1287.69190999432,
2021.08,1276.45815264527,
2021.09,1261.32312052317,
2021.10,1246.85881431753,
2021.11,1236.47280463219,
2021.12,1227.51165373212,
2022.01,1343.49429781892,
2022.02,1330.19237407814,
2022.03,1307.82812366347,
2022.04,1294.36606806765,
2022.05,1288.56693344731,
2022.06,1280.62645044916,
2022.07,1288.35752828127,
2022.08,1292.36350628062,
2022.09,1296.51225783396,
2022.10,1290.44686796343,
2022.11,1285.56229777229,
2022.12,1276.751811397,
2023.01,1365.27948048093,
2023.02,1354.84813525668,
2023.03,1346.23200611213,
2023.04,1339.13484544728,
2023.05,1352.77758274024,
2023.06,1354.13107341023,
2023.07,1355.35133579548,
2023.08,1352.64611041888,
2023.09,1351.16048516919,
2023.10,1349.54138982516,
2023.11,1348.19315569564,
2023.12,1340.81900976888,
2024.01,1426.14143926981,
2024.02,1414.68340937423,
2024.03,1412,
